"","X","focal","non_focal","ratio","variable","spp"
"1",6,"C. annuum","I. purpurea",258,"focal_pollen","C. annuum-I. purpurea"
"2",7,"E. sativa","I. purpurea",1308,"focal_pollen","E. sativa-I. purpurea"
"3",8,"B. oleracea","I. purpurea",90,"focal_pollen","B. oleracea-I. purpurea"
"4",10,"B. rapa","I. purpurea",193,"focal_pollen","B. rapa-I. purpurea"
"5",13,"S. melongena","I. aquatica",64,"focal_pollen","S. melongena-I. aquatica"
"6",14,"P. integrifolia","I. aquatica",23,"focal_pollen","P. integrifolia-I. aquatica"
"7",15,"S. lycopersicum","I. aquatica",56,"focal_pollen","S. lycopersicum-I. aquatica"
"8",19,"S. alba","I. aquatica",1617,"focal_pollen","S. alba-I. aquatica"
"9",21,"I. purpurea","S. melongena",138,"focal_pollen","I. purpurea-S. melongena"
"10",29,"S. alba","S. melongena",3054,"focal_pollen","S. alba-S. melongena"
"11",37,"E. sativa","P. integrifolia",621,"focal_pollen","E. sativa-P. integrifolia"
"12",50,"B. rapa","S. lycopersicum",1114,"focal_pollen","B. rapa-S. lycopersicum"
"13",52,"I. aquatica","C. annuum",35,"focal_pollen","I. aquatica-C. annuum"
"14",58,"B. oleracea","C. annuum",281,"focal_pollen","B. oleracea-C. annuum"
"15",61,"I. purpurea","E. sativa",27,"focal_pollen","I. purpurea-E. sativa"
"16",63,"S. melongena","E. sativa",1837,"focal_pollen","S. melongena-E. sativa"
"17",74,"P. integrifolia","B. oleracea",332,"focal_pollen","P. integrifolia-B. oleracea"
"18",82,"I. aquatica","S. alba",42,"focal_pollen","I. aquatica-S. alba"
"19",86,"C. annuum","S. alba",304,"focal_pollen","C. annuum-S. alba"
"20",95,"S. lycopersicum","B. rapa",164,"focal_pollen","S. lycopersicum-B. rapa"
"21",62,"C. annuum","I. purpurea",11,"non_focal_pollen","C. annuum-I. purpurea"
"22",71,"E. sativa","I. purpurea",8,"non_focal_pollen","E. sativa-I. purpurea"
"23",81,"B. oleracea","I. purpurea",20,"non_focal_pollen","B. oleracea-I. purpurea"
"24",101,"B. rapa","I. purpurea",2,"non_focal_pollen","B. rapa-I. purpurea"
"25",131,"S. melongena","I. aquatica",26,"non_focal_pollen","S. melongena-I. aquatica"
"26",141,"P. integrifolia","I. aquatica",20,"non_focal_pollen","P. integrifolia-I. aquatica"
"27",151,"S. lycopersicum","I. aquatica",10,"non_focal_pollen","S. lycopersicum-I. aquatica"
"28",191,"S. alba","I. aquatica",19,"non_focal_pollen","S. alba-I. aquatica"
"29",211,"I. purpurea","S. melongena",362,"non_focal_pollen","I. purpurea-S. melongena"
"30",291,"S. alba","S. melongena",1096,"non_focal_pollen","S. alba-S. melongena"
"31",371,"E. sativa","P. integrifolia",321,"non_focal_pollen","E. sativa-P. integrifolia"
"32",501,"B. rapa","S. lycopersicum",246,"non_focal_pollen","B. rapa-S. lycopersicum"
"33",521,"I. aquatica","C. annuum",85,"non_focal_pollen","I. aquatica-C. annuum"
"34",581,"B. oleracea","C. annuum",209,"non_focal_pollen","B. oleracea-C. annuum"
"35",611,"I. purpurea","E. sativa",216,"non_focal_pollen","I. purpurea-E. sativa"
"36",631,"S. melongena","E. sativa",2231,"non_focal_pollen","S. melongena-E. sativa"
"37",741,"P. integrifolia","B. oleracea",376,"non_focal_pollen","P. integrifolia-B. oleracea"
"38",821,"I. aquatica","S. alba",170,"non_focal_pollen","I. aquatica-S. alba"
"39",861,"C. annuum","S. alba",450,"non_focal_pollen","C. annuum-S. alba"
"40",951,"S. lycopersicum","B. rapa",208,"non_focal_pollen","S. lycopersicum-B. rapa"
